step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution
1,mlm,10.344795227050781,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,1.9301695823669434,False,1,0,0,0,0,0
500,mlm,5.523415565490723,7.817375659942627,7.817375659942627,0,0.0004166666666666667,57.020965814590454,False,299,91,55,55,0,0
1000,mlm,5.02548885345459,7.740572929382324,7.740572929382324,0,0.0004787234042553192,112.22701716423035,False,583,190,111,116,0,0
1500,definiteness,0.6192141771316528,7.579253355662028,7.579253355662028,0,0.0004521276595744681,168.35105180740356,False,870,284,178,168,0,0
2000,mlm,4.1368231773376465,7.377376238505046,7.377376238505046,0,0.000425531914893617,222.5525336265564,False,1161,380,231,228,0,0
2500,mlm,4.036087512969971,7.402700583140056,7.377376238505046,0,0.00039893617021276594,277.98975944519043,False,1461,483,280,276,0,0
3000,mlm,3.7550363540649414,7.244800885518392,7.244800885518392,0,0.0003723404255319149,334.7128360271454,False,1748,593,341,318,0,0
3500,mlm,4.230823040008545,7.250855604807536,7.244800885518392,0,0.0003457446808510639,389.45328521728516,False,2051,682,391,376,0,0
4000,connective,1.3289194107055664,7.096197128295898,7.096197128295898,0,0.0003191489361702128,444.439337015152,False,2357,782,435,426,0,0
4500,mlm,3.3383047580718994,7.213043848673503,7.096197128295898,1,0.0002925531914893617,502.2284367084503,False,2662,883,481,474,0,0
5000,connective,1.059482216835022,6.838296095530192,6.838296095530192,0,0.00026595744680851064,559.9820680618286,False,2975,972,524,529,0,0
5500,mlm,3.3260836601257324,7.014804840087891,6.838296095530192,1,0.0002393617021276596,615.6449446678162,False,3270,1071,590,569,0,0
6000,rtd,0.032678887248039246,6.904027938842773,6.838296095530192,2,0.0002127659574468085,673.8779990673065,False,3576,1167,641,616,0,0
6500,mlm,3.3561623096466064,6.9325582186381025,6.838296095530192,3,0.00018617021276595746,729.3932077884674,False,3888,1257,700,655,0,0
7000,mlm,3.686168909072876,6.875376383463542,6.838296095530192,4,0.0001595744680851064,786.4018976688385,True,4195,1354,741,710,0,0
