step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution
1,mlm,10.344795227050781,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.043865203857422,False,1,0,0,0,0,0
500,mlm,5.499780178070068,7.804569085439046,7.804569085439046,0,0.0004166666666666667,61.865185260772705,False,299,91,55,55,0,0
1000,mlm,5.013750076293945,7.843136628468831,7.804569085439046,0,0.0004787234042553192,121.88264560699463,False,583,190,111,116,0,0
1500,definiteness,0.5741474032402039,7.5579155286153155,7.5579155286153155,0,0.0004521276595744681,180.21315360069275,False,870,284,178,168,0,0
2000,mlm,4.0949015617370605,7.362900257110596,7.362900257110596,0,0.000425531914893617,239.64275360107422,False,1161,380,231,228,0,0
2500,mlm,3.954047679901123,7.430770715077718,7.362900257110596,0,0.00039893617021276594,297.5361168384552,False,1461,483,280,276,0,0
3000,mlm,3.716512680053711,7.243860244750977,7.243860244750977,0,0.0003723404255319149,357.4854929447174,False,1748,593,341,318,0,0
3500,mlm,4.1186323165893555,7.299055735270183,7.243860244750977,0,0.0003457446808510639,416.50644040107727,False,2051,682,391,376,0,0
4000,connective,1.3928061723709106,7.103206157684326,7.103206157684326,0,0.0003191489361702128,475.35454964637756,False,2357,782,435,426,0,0
4500,mlm,3.226166009902954,7.192068735758464,7.103206157684326,0,0.0002925531914893617,535.0335741043091,False,2662,883,481,474,0,0
5000,connective,1.084330439567566,6.82595952351888,6.82595952351888,0,0.00026595744680851064,596.6284608840942,False,2975,972,524,529,0,0
5500,mlm,3.2366855144500732,7.0508964856465655,6.82595952351888,0,0.0002393617021276596,654.9569616317749,False,3270,1071,590,569,0,0
6000,rtd,0.14289268851280212,6.930700620015462,6.82595952351888,0,0.0002127659574468085,715.3948516845703,False,3576,1167,641,616,0,0
6500,mlm,3.3141090869903564,6.91361665725708,6.82595952351888,0,0.00018617021276595746,774.5128672122955,False,3888,1257,700,655,0,0
7000,mlm,3.7215774059295654,6.920912901560466,6.82595952351888,0,0.0001595744680851064,833.9429652690887,False,4195,1354,741,710,0,0
7500,rtd,0.1300336718559265,7.002196153004964,6.82595952351888,0,0.00013297872340425532,892.8053162097931,False,4495,1454,792,759,0,0
8000,mlm,2.8082823753356934,6.948909282684326,6.82595952351888,0,0.00010638297872340425,951.4325602054596,False,4793,1549,845,813,0,0
8500,mlm,2.8407862186431885,6.968197345733643,6.82595952351888,0,7.97872340425532e-05,1025.42471241951,False,5293,1549,845,813,0,0
9000,mlm,3.3504233360290527,6.885562419891357,6.82595952351888,1,5.319148936170213e-05,1097.7655568122864,False,5793,1549,845,813,0,0
9500,mlm,3.3509511947631836,6.88095744450887,6.82595952351888,2,2.6595744680851064e-05,1171.762393951416,True,6293,1549,845,813,0,0
