step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution
1,mlm,10.344795227050781,10.356061617533365,10.356061617533365,0,1.388888888888889e-06,2.1512672901153564,False,1,0,0,0,0,0
500,mlm,5.27542781829834,7.772958596547444,7.772958596547444,0,0.0004875886524822695,81.80277919769287,False,422,55,16,7,0,0
1000,mlm,4.481497764587402,7.58358367284139,7.58358367284139,0,0.0004432624113475177,164.0365571975708,False,847,109,26,18,0,0
1500,rtd,0.20610105991363525,7.4775465329488116,7.4775465329488116,0,0.00039893617021276594,243.83481240272522,False,1272,158,37,33,0,0
2000,mlm,4.0230278968811035,7.296021938323975,7.296021938323975,0,0.0003546099290780142,321.4397838115692,False,1694,212,46,48,0,0
2500,mlm,3.8746771812438965,7.288882414499919,7.296021938323975,0,0.00031028368794326237,403.0381565093994,False,2130,261,52,57,0,0
3000,mlm,3.4053471088409424,7.1500199635823565,7.1500199635823565,0,0.00026595744680851064,480.8645293712616,False,2558,306,61,75,0,0
3500,mlm,3.4167473316192627,7.239097277323405,7.1500199635823565,1,0.00022163120567375886,560.3953981399536,False,2984,356,75,85,0,0
4000,mlm,3.733316421508789,6.991003354390462,6.991003354390462,0,0.0001773049645390071,643.1498718261719,False,3409,406,90,95,0,0
4500,connective,1.9301875829696655,7.177262783050537,6.991003354390462,1,0.00013297872340425532,724.9018521308899,False,3842,442,103,113,0,0
5000,mlm,3.3324217796325684,6.804625988006592,6.804625988006592,0,8.865248226950355e-05,800.1763110160828,False,4250,501,116,133,0,0
5500,mlm,3.0404775142669678,7.072763125101726,6.804625988006592,1,4.4326241134751776e-05,876.7776637077332,False,4666,561,131,142,0,0
6000,mlm,3.423983097076416,6.967737038930257,6.804625988006592,2,0.0,957.7217211723328,False,5098,608,142,152,0,0
