step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice
1,mlm,10.327686309814453,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.105027437210083,False,1,0,0,0,0,0,0,0,0,0
500,mlm,5.22566556930542,7.797765731811523,7.797765731811523,0,0.0004166666666666667,59.00216865539551,False,292,39,36,34,29,0,0,0,0,70
1000,conceptual_plausibility_choice,0.32680007815361023,7.770127614339192,7.770127614339192,0,0.0004787234042553192,116.52761960029602,False,578,99,66,66,51,0,0,0,0,140
1500,conceptual_plausibility_choice,0.2135608047246933,7.821184317270915,7.770127614339192,0,0.0004521276595744681,174.4334409236908,False,857,155,99,99,69,0,0,0,0,221
2000,mlm,3.981065511703491,7.478062629699707,7.478062629699707,0,0.000425531914893617,233.3804395198822,False,1143,198,127,132,92,0,0,0,0,308
2500,mlm,3.9772050380706787,7.429830074310303,7.429830074310303,0,0.00039893617021276594,290.20669746398926,False,1425,250,155,174,123,0,0,0,0,373
3000,mlm,3.7455687522888184,7.29855219523112,7.29855219523112,0,0.0003723404255319149,347.1797013282776,False,1686,297,190,222,153,0,0,0,0,452
3500,rtd,0.17214086651802063,7.304566065470378,7.29855219523112,0,0.0003457446808510639,401.20144176483154,False,1945,338,230,265,186,0,0,0,0,536
4000,mlm,3.882521390914917,7.076051553090413,7.076051553090413,0,0.0003191489361702128,458.6631760597229,False,2223,379,268,303,212,0,0,0,0,615
4500,collocation,0.510282576084137,7.205056349436442,7.076051553090413,0,0.0002925531914893617,516.5899231433868,False,2503,427,298,338,239,0,0,0,0,695
5000,mlm,3.525717258453369,6.95469872156779,6.95469872156779,0,0.00026595744680851064,572.0376031398773,False,2758,480,345,374,266,0,0,0,0,777
5500,definiteness,0.42265984416007996,7.122695287068685,6.95469872156779,0,0.0002393617021276596,629.8151772022247,False,3033,529,380,412,291,0,0,0,0,855
6000,mlm,3.766119956970215,7.057598272959392,6.95469872156779,0,0.0002127659574468085,687.5237135887146,False,3311,581,408,444,321,0,0,0,0,935
6500,mlm,3.7949562072753906,6.871443271636963,6.871443271636963,0,0.00018617021276595746,745.2733066082001,False,3585,634,444,486,340,0,0,0,0,1011
7000,connective,1.3817696571350098,6.872132142384847,6.871443271636963,0,0.0001595744680851064,801.6360545158386,False,3854,699,472,527,362,0,0,0,0,1086
7500,mlm,3.8236639499664307,6.930799961090088,6.871443271636963,0,0.00013297872340425532,859.2907156944275,False,4135,752,497,569,388,0,0,0,0,1159
8000,conceptual_plausibility_choice,0.020023910328745842,6.909048875172933,6.871443271636963,0,0.00010638297872340425,920.181764125824,False,4430,806,532,604,408,0,0,0,0,1220
8500,mlm,3.1606669425964355,6.984855651855469,6.871443271636963,0,7.97872340425532e-05,1002.76016497612,False,4930,806,532,604,408,0,0,0,0,1220
9000,mlm,3.1148781776428223,6.894342581431071,6.871443271636963,1,5.319148936170213e-05,1084.2318665981293,False,5430,806,532,604,408,0,0,0,0,1220
9500,mlm,2.920772075653076,6.84770393371582,6.84770393371582,0,2.6595744680851064e-05,1169.1237425804138,False,5930,806,532,604,408,0,0,0,0,1220
10000,mlm,3.0783753395080566,6.870225270589192,6.84770393371582,1,0.0,1257.3435797691345,False,6430,806,532,604,408,0,0,0,0,1220
