step,task,loss,semantic_cloze_ranking_margin,semantic_cloze_ranking_accuracy,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice,steps/mlm_pair_ranking,steps/semantic_cloze_ranking,steps/relational_semantic_cloze
1,mlm,10.340572357177734,,,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.0547523498535156,False,1,0,0,0,0,0,0,0,0,0,0,0,0
500,grammar_minpair,1.033826470375061,3.525820255279541,1.0,7.831949075063069,7.831949075063069,0,0.0004166666666666667,58.01938533782959,False,300,54,44,35,24,0,0,0,21,0,0,8,14
1000,semantic_cloze_ranking,0.08042441308498383,3.5928850173950195,0.96875,7.807187398274739,7.807187398274739,0,0.0004787234042553192,111.69976806640625,False,604,105,76,78,43,0,0,0,40,0,0,25,29
1500,connective,2.0444324016571045,5.861635208129883,1.0,7.726606210072835,7.726606210072835,0,0.0004521276595744681,166.3747432231903,False,903,145,115,107,79,0,0,0,64,0,0,44,43
2000,mlm,4.301262855529785,6.912081718444824,1.0,7.370420455932617,7.370420455932617,0,0.000425531914893617,225.21115446090698,False,1228,189,146,134,108,0,0,0,83,0,0,57,55
2500,grammar_minpair,0.7051720023155212,5.73345947265625,1.0,7.325520833333333,7.325520833333333,0,0.00039893617021276594,283.1386733055115,False,1542,233,178,176,133,0,0,0,107,0,0,71,60
3000,mlm,3.3822736740112305,5.7240753173828125,1.0,7.304196675618489,7.304196675618489,0,0.0003723404255319149,338.07010102272034,False,1853,280,210,213,161,0,0,0,130,0,0,82,71
3500,connective,1.588539719581604,5.397934436798096,1.0,7.279579162597656,7.279579162597656,0,0.0003457446808510639,391.66586923599243,False,2136,337,253,256,194,0,0,0,152,0,0,88,84
4000,mlm,4.08341646194458,7.631779670715332,1.0,7.0655517578125,7.0655517578125,0,0.0003191489361702128,445.82877922058105,False,2431,379,288,291,224,0,0,0,182,0,0,100,105
4500,mlm,3.808779716491699,7.4586920738220215,1.0,7.1816989580790205,7.0655517578125,0,0.0002925531914893617,501.8977177143097,False,2746,425,325,329,242,0,0,0,207,0,0,109,117
5000,mlm,3.489816904067993,7.640769958496094,1.0,6.808254241943359,6.808254241943359,0,0.00026595744680851064,557.4025993347168,False,3049,468,363,365,270,0,0,0,234,0,0,121,130
5500,mlm,3.0460500717163086,8.261859893798828,1.0,7.157522360483806,6.808254241943359,0,0.0002393617021276596,611.6002624034882,False,3335,526,402,404,295,0,0,0,264,0,0,130,144
6000,mlm,3.2729625701904297,6.7133684158325195,1.0,6.9934126536051435,6.808254241943359,0,0.0002127659574468085,663.0374917984009,False,3624,579,439,448,324,0,0,0,287,0,0,143,156
6500,rtd,0.1750381886959076,6.863556861877441,1.0,6.846627394358317,6.808254241943359,0,0.00018617021276595746,717.3138952255249,False,3908,641,468,495,354,0,0,0,309,0,0,159,166
7000,rtd,0.14928317070007324,8.054874420166016,1.0,6.858231385548909,6.808254241943359,0,0.0001595744680851064,773.2076458930969,False,4235,683,494,532,373,0,0,0,335,0,0,172,176
7500,grammar_minpair,0.0018736523343250155,6.9949846267700195,1.0,6.911871751149495,6.808254241943359,0,0.00013297872340425532,829.9972579479218,False,4537,734,533,572,396,0,0,0,361,0,0,183,184
8000,grammar_minpair,0.0013576991623267531,8.56747055053711,1.0,6.909664312998454,6.808254241943359,0,0.00010638297872340425,883.7650783061981,False,4816,783,564,618,426,0,0,0,395,0,0,199,199
8500,mlm,3.354278564453125,8.56747055053711,1.0,6.899072170257568,6.808254241943359,0,7.97872340425532e-05,956.150298833847,False,5316,783,564,618,426,0,0,0,395,0,0,199,199
9000,mlm,3.033440113067627,8.56747055053711,1.0,6.827063878377278,6.808254241943359,1,5.319148936170213e-05,1029.4336314201355,False,5816,783,564,618,426,0,0,0,395,0,0,199,199
9500,mlm,3.0425541400909424,8.56747055053711,1.0,6.847145398457845,6.808254241943359,2,2.6595744680851064e-05,1101.5552744865417,True,6316,783,564,618,426,0,0,0,395,0,0,199,199
