step,task,loss,semantic_cloze_ranking_margin,semantic_cloze_ranking_accuracy,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/grammar_minpair,steps/semantic_cloze_ranking
1,mlm,10.370723724365234,,,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.1945717334747314,False,1,0,0,0,0,0,0
500,mlm,5.3730244636535645,2.915478467941284,0.9583333730697632,7.856823762257894,7.856823762257894,0,0.0004166666666666667,64.80613446235657,False,287,52,41,32,31,29,28
1000,mlm,4.903832912445068,3.658102512359619,1.0,7.9060672124226885,7.856823762257894,0,0.0004787234042553192,125.25121974945068,False,584,98,80,82,56,43,57
1500,mlm,4.531290054321289,4.86018705368042,1.0,7.694351673126221,7.694351673126221,0,0.0004521276595744681,187.56735062599182,False,879,151,115,117,83,75,80
2000,connective,1.90659761428833,5.485217094421387,1.0,7.424407482147217,7.424407482147217,0,0.000425531914893617,247.24854159355164,False,1173,208,141,164,115,94,105
2500,mlm,4.342677593231201,5.940816402435303,1.0,7.258576393127441,7.258576393127441,0,0.00039893617021276594,309.3969006538391,False,1474,256,185,200,142,119,124
3000,rtd,0.17568720877170563,6.100265026092529,1.0,7.27829122543335,7.258576393127441,0,0.0003723404255319149,372.52962040901184,False,1797,295,221,237,174,133,143
3500,mlm,4.028790473937988,6.692085266113281,1.0,7.27667776743571,7.258576393127441,0,0.0003457446808510639,433.14707374572754,False,2103,339,261,275,198,157,167
4000,definiteness,0.3788304328918457,6.917012691497803,1.0,6.975898265838623,6.975898265838623,0,0.0003191489361702128,493.2267405986786,False,2395,392,293,318,226,181,195
4500,mlm,3.4075677394866943,6.477799892425537,1.0,7.179839611053467,6.975898265838623,0,0.0002925531914893617,553.7474460601807,False,2694,444,330,355,259,200,218
5000,definiteness,0.5521422028541565,7.226222515106201,1.0,6.8105231920878095,6.8105231920878095,0,0.00026595744680851064,616.9999513626099,False,3001,497,371,379,288,220,244
5500,mlm,3.3172285556793213,7.66477108001709,1.0,7.050607363382976,6.8105231920878095,0,0.0002393617021276596,675.543984413147,False,3286,553,414,413,317,243,274
6000,mlm,3.730142593383789,7.089385032653809,1.0,6.902478535970052,6.8105231920878095,0,0.0002127659574468085,737.9447798728943,False,3594,604,451,448,338,266,299
6500,mlm,3.3489840030670166,7.388835906982422,1.0,6.867900371551514,6.8105231920878095,0,0.00018617021276595746,799.3450486660004,False,3913,650,487,490,356,286,318
7000,mlm,3.2859673500061035,7.507358551025391,1.0,6.891664822896321,6.8105231920878095,0,0.0001595744680851064,860.4177310466766,False,4210,696,522,539,383,309,341
7500,mlm,3.6615726947784424,7.782071113586426,1.0,6.909616152445476,6.8105231920878095,0,0.00013297872340425532,922.0249321460724,False,4519,745,560,579,404,332,361
8000,mlm,3.027461528778076,7.930741786956787,1.0,6.914303620656331,6.8105231920878095,0,0.00010638297872340425,981.4397623538971,False,4807,800,588,620,435,362,388
8500,mlm,3.174165725708008,7.930741786956787,1.0,6.936313947041829,6.8105231920878095,0,7.97872340425532e-05,1065.8910620212555,False,5307,800,588,620,435,362,388
9000,mlm,2.7604753971099854,7.930741786956787,1.0,6.836288928985596,6.8105231920878095,1,5.319148936170213e-05,1150.3122465610504,False,5807,800,588,620,435,362,388
9500,mlm,3.356910467147827,7.930741786956787,1.0,6.873315811157227,6.8105231920878095,2,2.6595744680851064e-05,1232.5317285060883,True,6307,800,588,620,435,362,388
