step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice,steps/mlm_pair_ranking
1,mlm,10.327686309814453,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.2095141410827637,False,1,0,0,0,0,0,0,0,0,0,0
500,mlm,5.254811763763428,7.856715043385823,7.856715043385823,0,0.0004166666666666667,74.41024589538574,False,292,39,36,34,29,0,0,0,0,0,70
1000,mlm_pair_ranking,0.008842620067298412,7.749611695607503,7.749611695607503,0,0.0004787234042553192,145.57312774658203,False,578,99,66,66,51,0,0,0,0,0,140
1500,mlm_pair_ranking,0.002961499150842428,7.693652311960856,7.693652311960856,0,0.0004521276595744681,219.46102952957153,False,857,155,99,99,69,0,0,0,0,0,221
2000,mlm,4.044095516204834,7.479156494140625,7.479156494140625,0,0.000425531914893617,294.91693139076233,False,1143,198,127,132,92,0,0,0,0,0,308
2500,mlm,3.9634153842926025,7.43441375096639,7.43441375096639,0,0.00039893617021276594,365.58436036109924,False,1425,250,155,174,123,0,0,0,0,0,373
3000,mlm,3.775923728942871,7.338447570800781,7.338447570800781,0,0.0003723404255319149,435.5986783504486,False,1686,297,190,222,153,0,0,0,0,0,452
3500,rtd,0.16087692975997925,7.250026384989421,7.250026384989421,0,0.0003457446808510639,505.56703901290894,False,1945,338,230,265,186,0,0,0,0,0,536
4000,mlm,3.782998561859131,7.003271261850993,7.003271261850993,0,0.0003191489361702128,577.0954570770264,False,2223,379,268,303,212,0,0,0,0,0,615
4500,collocation,0.40849849581718445,7.27370564142863,7.003271261850993,0,0.0002925531914893617,647.4684252738953,False,2503,427,298,338,239,0,0,0,0,0,695
5000,mlm,3.4675827026367188,7.0850809415181475,7.003271261850993,0,0.00026595744680851064,717.1718654632568,False,2758,480,345,374,266,0,0,0,0,0,777
5500,definiteness,0.33309078216552734,7.1128166516621905,7.003271261850993,0,0.0002393617021276596,790.4833073616028,False,3033,529,380,412,291,0,0,0,0,0,855
6000,mlm,3.7841155529022217,7.0831295649210615,7.003271261850993,0,0.0002127659574468085,863.6439211368561,False,3311,581,408,444,321,0,0,0,0,0,935
6500,mlm,3.7340235710144043,6.964181582132976,6.964181582132976,0,0.00018617021276595746,935.5660965442657,False,3585,634,444,486,340,0,0,0,0,0,1011
7000,connective,1.0311545133590698,6.993430455525716,6.964181582132976,0,0.0001595744680851064,1007.5247750282288,False,3854,699,472,527,362,0,0,0,0,0,1086
7500,mlm,3.818618059158325,6.982554912567139,6.964181582132976,0,0.00013297872340425532,1079.719654083252,False,4135,752,497,569,388,0,0,0,0,0,1159
8000,mlm_pair_ranking,0.00012592680286616087,6.933878739674886,6.933878739674886,0,0.00010638297872340425,1150.489981174469,False,4430,806,532,604,408,0,0,0,0,0,1220
8500,mlm,3.112457513809204,7.009455521901448,6.933878739674886,0,7.97872340425532e-05,1235.1603474617004,False,4930,806,532,604,408,0,0,0,0,0,1220
9000,mlm,3.108320951461792,6.92859411239624,6.933878739674886,1,5.319148936170213e-05,1315.3493592739105,False,5430,806,532,604,408,0,0,0,0,0,1220
9500,mlm,2.8665480613708496,6.940035343170166,6.933878739674886,2,2.6595744680851064e-05,1398.6873281002045,True,5930,806,532,604,408,0,0,0,0,0,1220
