step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair
1,mlm,10.327686309814453,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.3285677433013916,False,1,0,0,0,0,0,0,0,0
500,mlm,5.443943023681641,7.755509694417317,7.755509694417317,0,0.0004166666666666667,66.02567553520203,False,307,50,37,33,32,0,0,0,41
1000,grammar_minpair,0.7045441269874573,7.853169123331706,7.755509694417317,0,0.0004787234042553192,129.2701132297516,False,612,96,78,73,53,0,0,0,88
1500,rtd,0.23810110986232758,7.63752555847168,7.63752555847168,0,0.0004521276595744681,194.49482941627502,False,919,147,108,102,74,0,0,0,150
2000,grammar_minpair,0.6912276744842529,7.432930787404378,7.432930787404378,0,0.000425531914893617,257.48179149627686,False,1222,189,144,142,102,0,0,0,201
2500,connective,1.9221047163009644,7.29985253016154,7.29985253016154,0,0.00039893617021276594,323.5122654438019,False,1540,228,179,192,120,0,0,0,241
3000,mlm,3.8355019092559814,7.2265292803446455,7.2265292803446455,0,0.0003723404255319149,385.4084196090698,False,1835,271,226,224,148,0,0,0,296
3500,connective,1.6944745779037476,7.229742050170898,7.2265292803446455,0,0.0003457446808510639,442.23077416419983,False,2106,330,271,268,176,0,0,0,349
4000,definiteness,0.46594372391700745,6.9401936531066895,6.9401936531066895,0,0.0003191489361702128,506.3741145133972,False,2404,382,305,314,194,0,0,0,401
4500,mlm,3.736213445663452,7.176439126332601,6.9401936531066895,0,0.0002925531914893617,572.4823987483978,False,2713,433,336,354,214,0,0,0,450
5000,mlm,3.4613778591156006,6.831769625345866,6.831769625345866,0,0.00026595744680851064,638.286515712738,False,3021,487,369,400,237,0,0,0,486
5500,mlm,3.2406527996063232,7.08355172475179,6.831769625345866,0,0.0002393617021276596,702.7668898105621,False,3333,528,397,437,267,0,0,0,538
6000,mlm,3.7167491912841797,6.8548054695129395,6.831769625345866,0,0.0002127659574468085,767.2142922878265,False,3639,570,433,472,293,0,0,0,593
6500,grammar_minpair,0.0011267438530921936,6.8546528816223145,6.831769625345866,0,0.00018617021276595746,827.5151720046997,False,3929,615,475,503,324,0,0,0,654
7000,grammar_minpair,0.0003556557931005955,6.815863927205403,6.815863927205403,0,0.0001595744680851064,892.0068817138672,False,4239,651,516,542,347,0,0,0,705
7500,mlm,3.891963481903076,6.835360050201416,6.815863927205403,0,0.00013297872340425532,953.3532435894012,False,4529,698,558,575,385,0,0,0,755
8000,mlm,3.0308303833007812,6.818974653879802,6.815863927205403,0,0.00010638297872340425,1016.2034232616425,False,4817,749,605,609,406,0,0,0,814
8500,mlm,3.5040652751922607,6.870615482330322,6.815863927205403,0,7.97872340425532e-05,1101.5923397541046,False,5317,749,605,609,406,0,0,0,814
9000,mlm,2.9254517555236816,6.811600049336751,6.815863927205403,1,5.319148936170213e-05,1185.4377958774567,False,5817,749,605,609,406,0,0,0,814
9500,mlm,2.9850428104400635,6.79810889561971,6.79810889561971,0,2.6595744680851064e-05,1271.3626279830933,False,6317,749,605,609,406,0,0,0,814
10000,mlm,3.1573147773742676,6.818406263987224,6.79810889561971,1,0.0,1355.7800056934357,False,6817,749,605,609,406,0,0,0,814
