step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction
1,mlm,10.370723724365234,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.3987364768981934,False,1,0,0,0,0,0,0,0
500,mlm,5.33368444442749,7.8435977300008135,7.8435977300008135,0,0.0004166666666666667,66.12911033630371,False,287,52,41,32,31,0,29,28
1000,collocation,0.6807761788368225,7.863965193430583,7.8435977300008135,0,0.0004787234042553192,127.65941119194031,False,587,105,75,80,56,0,43,54
1500,collocation,0.8821351528167725,7.745925108591716,7.745925108591716,0,0.0004521276595744681,192.57201886177063,False,899,151,112,118,77,0,63,80
2000,mlm,3.9596712589263916,7.346231778462728,7.346231778462728,0,0.000425531914893617,252.93917274475098,False,1186,215,154,157,106,0,78,104
2500,mlm,4.012963771820068,7.399221420288086,7.346231778462728,0,0.00039893617021276594,318.6187860965729,False,1509,258,191,189,124,0,104,125
3000,agreement_prediction,1.3367727994918823,7.181540330251058,7.181540330251058,0,0.0003723404255319149,381.8660979270935,False,1816,308,221,220,145,0,139,151
3500,agreement_prediction,1.6644325256347656,7.285307725270589,7.181540330251058,0,0.0003457446808510639,444.5296449661255,False,2114,351,277,257,169,0,157,175
4000,connective,1.4401482343673706,6.978885014851888,6.978885014851888,0,0.0003191489361702128,505.5266878604889,False,2413,399,321,294,188,0,180,205
4500,definiteness,0.41060248017311096,7.1748660405476885,6.978885014851888,0,0.0002925531914893617,567.8443441390991,False,2710,453,364,336,205,0,202,230
5000,mlm,4.050529479980469,6.842574596405029,6.842574596405029,0,0.00026595744680851064,631.0059823989868,False,2993,519,397,369,228,0,236,258
5500,mlm,3.511808395385742,7.06462828318278,6.842574596405029,0,0.0002393617021276596,690.9727358818054,False,3277,573,446,413,243,0,258,290
6000,mlm,3.198308229446411,6.986490249633789,6.842574596405029,0,0.0002127659574468085,753.7161176204681,False,3586,627,480,453,261,0,280,313
6500,mlm,3.2173094749450684,6.912296613057454,6.842574596405029,0,0.00018617021276595746,814.2366652488708,False,3873,693,516,490,289,0,296,343
7000,mlm,3.1826982498168945,6.940022627512614,6.842574596405029,0,0.0001595744680851064,878.4412655830383,False,4182,735,557,523,311,0,324,368
7500,agreement_prediction,1.0657308101654053,6.894092241923015,6.842574596405029,0,0.00013297872340425532,939.9806635379791,False,4491,779,592,564,331,0,353,390
8000,rtd,0.15001645684242249,6.861698945363362,6.842574596405029,0,0.00010638297872340425,1002.8326578140259,False,4792,827,632,602,356,0,377,414
8500,mlm,3.2171030044555664,6.92114241917928,6.842574596405029,0,7.97872340425532e-05,1085.8846325874329,False,5292,827,632,602,356,0,377,414
9000,mlm,3.4789743423461914,6.817428112030029,6.817428112030029,0,5.319148936170213e-05,1169.7632446289062,False,5792,827,632,602,356,0,377,414
9500,mlm,2.788175582885742,6.891101042429606,6.817428112030029,1,2.6595744680851064e-05,1252.1456587314606,False,6292,827,632,602,356,0,377,414
10000,mlm,3.4979288578033447,6.881114959716797,6.817428112030029,2,0.0,1333.0569078922272,False,6792,827,632,602,356,0,377,414
