step,task,loss,semantic_cloze_ranking_margin,semantic_cloze_ranking_accuracy,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice,steps/mlm_pair_ranking,steps/semantic_cloze_ranking
1,mlm,10.370723724365234,,,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.3281102180480957,False,1,0,0,0,0,0,0,0,0,0,0,0
500,connective,2.4022371768951416,2.8999977111816406,0.9583333730697632,7.9143350919087725,7.9143350919087725,0,0.0004166666666666667,62.01104235649109,False,280,50,42,27,29,0,0,0,32,0,0,40
1000,mlm,4.941294193267822,4.129418849945068,1.0,7.727316856384277,7.727316856384277,0,0.0004787234042553192,122.11523509025574,False,572,101,75,63,54,0,0,0,58,0,0,77
1500,mlm,4.751173973083496,5.856315612792969,1.0,7.463448524475098,7.463448524475098,0,0.0004521276595744681,184.69365787506104,False,863,155,105,97,80,0,0,0,86,0,0,114
2000,rtd,0.18550562858581543,5.970824241638184,1.0,7.3181460698445635,7.3181460698445635,0,0.000425531914893617,245.63507437705994,False,1147,205,145,138,101,0,0,0,106,0,0,158
2500,mlm,4.528158187866211,6.666144371032715,1.0,7.345584869384766,7.3181460698445635,0,0.00039893617021276594,304.9023711681366,False,1419,252,184,176,136,0,0,0,137,0,0,196
3000,rtd,0.19648070633411407,7.3515167236328125,1.0,7.207358360290527,7.207358360290527,0,0.0003723404255319149,366.11870527267456,False,1715,296,215,222,155,0,0,0,162,0,0,235
3500,mlm,4.033899784088135,7.167128562927246,1.0,7.287652015686035,7.207358360290527,0,0.0003457446808510639,429.97549200057983,False,2016,344,251,254,180,0,0,0,184,0,0,271
4000,mlm,3.685615301132202,7.117101669311523,1.0,7.031815687815349,7.031815687815349,0,0.0003191489361702128,490.9402861595154,False,2319,386,280,298,207,0,0,0,203,0,0,307
4500,mlm,4.0817060470581055,7.73313045501709,1.0,7.224128405253093,7.031815687815349,0,0.0002925531914893617,551.5614566802979,False,2609,432,313,350,231,0,0,0,221,0,0,344
5000,definiteness,0.41158974170684814,7.762598991394043,1.0,6.898014863332112,6.898014863332112,0,0.00026595744680851064,613.8159878253937,False,2906,475,352,384,255,0,0,0,249,0,0,379
5500,connective,1.6354352235794067,8.214323997497559,1.0,7.114454428354899,6.898014863332112,0,0.0002393617021276596,673.0573282241821,False,3178,536,393,421,281,0,0,0,277,0,0,414
6000,definiteness,0.3845396935939789,8.125011444091797,1.0,7.013106822967529,6.898014863332112,0,0.0002127659574468085,732.5996720790863,False,3465,590,423,460,307,0,0,0,307,0,0,448
6500,mlm,3.47953200340271,8.142923355102539,1.0,7.006457487742106,6.898014863332112,0,0.00018617021276595746,795.5757749080658,False,3763,654,455,492,319,0,0,0,326,0,0,491
7000,mlm,3.5210113525390625,7.896575450897217,1.0,6.971652030944824,6.898014863332112,0,0.0001595744680851064,854.7495522499084,False,4055,699,499,526,340,0,0,0,353,0,0,528
7500,connective,1.1803849935531616,8.239622116088867,1.0,6.941096782684326,6.898014863332112,0,0.00013297872340425532,915.4413912296295,False,4352,752,534,563,362,0,0,0,374,0,0,563
8000,mlm,3.4120876789093018,8.465051651000977,1.0,6.974155902862549,6.898014863332112,0,0.00010638297872340425,974.1416771411896,False,4636,798,572,597,393,0,0,0,400,0,0,604
8500,mlm,3.625441789627075,8.465051651000977,1.0,7.004292011260986,6.898014863332112,0,7.97872340425532e-05,1056.0319063663483,False,5136,798,572,597,393,0,0,0,400,0,0,604
9000,mlm,3.54479718208313,8.465051651000977,1.0,6.896585623423259,6.898014863332112,1,5.319148936170213e-05,1139.5742428302765,False,5636,798,572,597,393,0,0,0,400,0,0,604
9500,mlm,2.916971445083618,8.465051651000977,1.0,6.940548261006673,6.898014863332112,2,2.6595744680851064e-05,1220.1009323596954,True,6136,798,572,597,393,0,0,0,400,0,0,604
