System,Seed,Val Loss,BLiMP,Sup.,Entity,COMPS,Eye,SPR,MaskLast
Random MLM,1,3.144514799118042,62.81,55.81,15.84,50.1,0.98,1.78,"[10000, 1216, 0, 0, 0]"
Random MLM,2,3.0296305418014526,62.76,55.91,17.7,50.51,2.12,2.53,"[10000, 1216, 0, 0, 0]"
Random MLM,3,2.832895040512085,61.71,55.6,16.76,49.92,2.8,2.11,"[10000, 1216, 0, 0, 0]"
HHM,1,3.1529789566993713,62.41,53.84,15.9,50.82,2.16,2.43,"[10000, 1216, 174, 256, 786]"
HHM,2,3.0747329592704773,62.32,56.72,22.65,50.83,2.26,2.57,"[10000, 1216, 213, 256, 747]"
HHM,3,2.8685473799705505,63.24,57.08,14.4,50.01,2.43,2.91,"[10000, 1216, 170, 256, 790]"
Accuracy-Morph,1,3.132579743862152,62.66,55.17,19.04,50.46,1.53,2.11,"[10000, 1216, 0, 256, 960]"
Accuracy-Morph,2,3.010500907897949,62.76,56.03,25.52,50.14,2.33,2.57,"[10000, 1216, 0, 256, 960]"
CMS-Morph,1,3.1574066877365112,63.33,54.45,15.81,50.33,2.7,2.3,"[10000, 1216, 0, 384, 832]"
Entity-Accuracy-Morph,1,3.156648814678192,62.13,55.17,17.85,50.04,1.51,2.06,"[10000, 1216, 33, 64, 1152]"
