Model,Seed,Validation loss,Overall BabyLM score,BLiMP,EWoK,Entity tracking,Training time
baseline_random_mlm,1,3.144514799118042,,,,,3574.186819076538
baseline_random_mlm,2,3.0296305418014526,,,,,4041.6004462242126
baseline_random_mlm,3,2.832895040512085,,,,,4043.42772936821
baseline_random_mlm_prelim,1,8.652441024780273,,,,,7.416418075561523
frequency_only_prelim,1,8.72378158569336,,,,,9.455402374267578
hh_entity_only_prelim,1,8.6535062789917,,,,,10.551679611206055
hh_error_only_prelim,1,8.661054611206055,,,,,8.976136445999146
hhm_entity_error,1,3.1529789566993713,,,,,5707.418554782867
hhm_entity_error,2,3.0747329592704773,,,,,5692.555825471878
hhm_entity_error,3,2.8685473799705505,,,,,5687.21125793457
hhm_entity_error_prelim,1,8.67027473449707,,,,,8.87806487083435
random_sketch_control_prelim,1,8.646244049072266,,,,,9.164228439331055
